text,category,is_scam,urgency_score,threat_level
Your order #ORD-954846 has been shipped via FedEx. Expected delivery is Friday by 5:00 PM. Track at official app.,Legitimate E-commerce,0,0.242,LOW
Tesla & Elon Musk 100M Crypto Giveaway! Send 0.1 BTC to receive 0.5 BTC back immediately: http://kyc-urgent-support.info,Crypto Investment Scam,1,0.918,CRITICAL
"ALERT: An unauthorized transaction of $5961 was attempted on your account. If this was not you, cancel it now at http://usps-delivery-portal.cc.",Banking Phishing,1,0.773,HIGH
Netflix Member Alert: We could not process your latest payment. Update billing details at http://usps-delivery-portal.cc to avoid service cancellation.,Subscription Phishing,1,0.925,HIGH
Payment received: You paid $42.50 at Trader Joe's using Apple Pay on Aug 25.,Legitimate Transaction,0,0.254,LOW
HDFC Security: Unusual login from United States. Confirm your identity now at https://bank-security-center.ru to prevent account freeze.,Banking Phishing,1,0.822,CRITICAL
Your verification code for Twitter is 510145. This code will expire in 10 minutes. Do not share it with anyone.,Legitimate OTP,0,0.185,LOW
GitHub: A new security advisory was published for your repository. Check security tab for details.,Legitimate Notification,0,0.081,LOW
Thanks for reaching out to customer support. Your ticket #26390 has been resolved. Please rate our service.,Legitimate Support,0,0.315,LOW
Payment received: You paid $42.50 at Trader Joe's using Apple Pay on Aug 25.,Legitimate Transaction,0,0.191,LOW
"WINNER! You have won the United States Mega Millions International Draw of $5,000,000! Call +1-249-259-7643 immediately with code WIN8663 to claim.",Lottery / Prize Fraud,1,0.952,CRITICAL
"Hey, are we still meeting for lunch at the cafeteria around 1:00 PM today?",Legitimate Personal,0,0.088,LOW
Package Delivery Failed: USPS tracking #US86250830P is held at terminal due to unpaid duty fees of $2.30. Pay at http://claim-crypto-giveaway.net.,Delivery Phishing,1,0.986,CRITICAL
Your order #ORD-930528 has been shipped via FedEx. Expected delivery is Friday by 5:00 PM. Track at official app.,Legitimate E-commerce,0,0.163,LOW
Thanks for reaching out to customer support. Your ticket #12234 has been resolved. Please rate our service.,Legitimate Support,0,0.328,LOW
Here is the updated recipe for the chocolate cake we discussed last weekend. Let me know if you need vanilla extract.,Legitimate Personal,0,0.23,LOW
IRS / Tax Notice: A federal warrant is issued for tax evasion. Call +1-954-407-7178 immediately or law enforcement will be dispatched.,Impersonation / Extortion,1,0.956,HIGH
Here is the updated recipe for the chocolate cake we discussed last weekend. Let me know if you need vanilla extract.,Legitimate Personal,0,0.223,LOW
This is the Chief Financial Officer. I am in an urgent meeting and need you to purchase 5x $100 Apple Gift Cards and email the codes.,Executive Impersonation,1,0.837,CRITICAL
GitHub: A new security advisory was published for your repository. Check security tab for details.,Legitimate Notification,0,0.065,LOW
IRS / Tax Notice: A federal warrant is issued for tax evasion. Call +1-374-942-7042 immediately or law enforcement will be dispatched.,Impersonation / Extortion,1,0.833,HIGH
Payment received: You paid $42.50 at Trader Joe's using Apple Pay on Aug 25.,Legitimate Transaction,0,0.318,LOW
Tesla & Elon Musk 100M Crypto Giveaway! Send 0.1 BTC to receive 0.5 BTC back immediately: http://kyc-urgent-support.info,Crypto Investment Scam,1,0.89,HIGH
Guaranteed 450% return in 48 hours! Join our automated crypto arbitrage pool today. Send 2.27 ETH to 0x4acd6dc and start earning.,Crypto Investment Scam,1,0.767,HIGH
"WINNER! You have won the Germany Mega Millions International Draw of $7,000,000! Call +1-766-995-1595 immediately with code WIN1957 to claim.",Lottery / Prize Fraud,1,0.766,HIGH
Zoom meeting invitation: Weekly Engineering Sync on Thursday at 3:00 PM EST. Join with meeting ID 5698.,Legitimate Work,0,0.252,LOW
Immediate hiring for Amazon Product Reviewer. Daily payout $500. Message Telegram @CryptoProf_337 for instant onboarding.,Fake Job Offer,1,0.928,CRITICAL
IRS / Tax Notice: A federal warrant is issued for tax evasion. Call +1-544-630-4954 immediately or law enforcement will be dispatched.,Impersonation / Extortion,1,0.986,CRITICAL
Netflix Member Alert: We could not process your latest payment. Update billing details at http://kyc-urgent-support.info to avoid service cancellation.,Subscription Phishing,1,0.96,CRITICAL
"Dear Customer, Your debit card ending in 6807 is locked. Click https://login-update-online-service.top to update KYC within 24 hours.",Banking Phishing,1,0.838,CRITICAL
Thanks for reaching out to customer support. Your ticket #42809 has been resolved. Please rate our service.,Legitimate Support,0,0.286,LOW
IRS / Tax Notice: A federal warrant is issued for tax evasion. Call +1-775-741-4280 immediately or law enforcement will be dispatched.,Impersonation / Extortion,1,0.919,CRITICAL
Netflix Member Alert: We could not process your latest payment. Update billing details at https://bank-security-center.ru to avoid service cancellation.,Subscription Phishing,1,0.772,CRITICAL
Google Calendar: Standup meeting starts in 10 minutes (10:00 AM - 10:15 AM).,Legitimate Calendar,0,0.34,LOW
"Hey, are we still meeting for lunch at the cafeteria around 1:00 PM today?",Legitimate Personal,0,0.084,LOW
Your verification code for Instagram is 519640. This code will expire in 10 minutes. Do not share it with anyone.,Legitimate OTP,0,0.215,LOW
GitHub: A new security advisory was published for your repository. Check security tab for details.,Legitimate Notification,0,0.239,LOW
Immediate hiring for Amazon Product Reviewer. Daily payout $500. Message Telegram @CryptoProf_610 for instant onboarding.,Fake Job Offer,1,0.803,HIGH
"Reminder: Your dentist appointment with Dr. Smith is scheduled for tomorrow at 2:30 PM. Reply 1 to confirm, 2 to reschedule.",Legitimate Service,0,0.063,LOW
"Invest $200 today and receive $3,500 daily guaranteed passive income! Contact our VIP forex manager on Telegram @CryptoProf_574.",Crypto Investment Scam,1,0.881,HIGH
Your order #ORD-566014 has been shipped via FedEx. Expected delivery is Friday by 5:00 PM. Track at official app.,Legitimate E-commerce,0,0.196,LOW
Package Delivery Failed: USPS tracking #US14699417P is held at terminal due to unpaid duty fees of $2.30. Pay at http://claim-crypto-giveaway.net.,Delivery Phishing,1,0.82,HIGH
Payment received: You paid $42.50 at Trader Joe's using Apple Pay on Aug 25.,Legitimate Transaction,0,0.144,LOW
"Reminder: Your dentist appointment with Dr. Smith is scheduled for tomorrow at 2:30 PM. Reply 1 to confirm, 2 to reschedule.",Legitimate Service,0,0.2,LOW
GitHub: A new security advisory was published for your repository. Check security tab for details.,Legitimate Notification,0,0.335,LOW
"Hi team, please find the quarterly performance slide deck attached for tomorrow's review meeting.",Legitimate Business,0,0.143,LOW
IRS / Tax Notice: A federal warrant is issued for tax evasion. Call +1-217-260-4207 immediately or law enforcement will be dispatched.,Impersonation / Extortion,1,0.804,HIGH
"Hi team, please find the quarterly performance slide deck attached for tomorrow's review meeting.",Legitimate Business,0,0.335,LOW
Here is the updated recipe for the chocolate cake we discussed last weekend. Let me know if you need vanilla extract.,Legitimate Personal,0,0.305,LOW
Netflix Member Alert: We could not process your latest payment. Update billing details at https://login-update-online-service.top to avoid service cancellation.,Subscription Phishing,1,0.971,CRITICAL
Tesla & Elon Musk 100M Crypto Giveaway! Send 0.1 BTC to receive 0.5 BTC back immediately: https://bank-security-center.ru,Crypto Investment Scam,1,0.987,HIGH
Netflix Member Alert: We could not process your latest payment. Update billing details at http://claim-crypto-giveaway.net to avoid service cancellation.,Subscription Phishing,1,0.928,CRITICAL
"Congratulations! You've been whitelisted for the Exclusive Solana Airdrop. Claim your free $5,000 token grant at http://usps-delivery-portal.cc.",Crypto Investment Scam,1,0.778,CRITICAL
"Walmart Reward: You have a pending voucher worth $1,000. Complete this short survey at http://usps-delivery-portal.cc before expiration.",Lottery / Prize Fraud,1,0.837,CRITICAL
Netflix Member Alert: We could not process your latest payment. Update billing details at https://bank-security-center.ru to avoid service cancellation.,Subscription Phishing,1,0.832,HIGH
Chase Security: Unusual login from Nigeria. Confirm your identity now at http://secure-verify-auth2.xyz to prevent account freeze.,Banking Phishing,1,0.941,HIGH
This is the Chief Financial Officer. I am in an urgent meeting and need you to purchase 5x $100 Apple Gift Cards and email the codes.,Executive Impersonation,1,0.913,HIGH
GitHub: A new security advisory was published for your repository. Check security tab for details.,Legitimate Notification,0,0.206,LOW
Your monthly bank statement for account ending in 4136 is now ready to view in the official mobile banking app.,Legitimate Banking,0,0.293,LOW
"Reminder: Your dentist appointment with Dr. Smith is scheduled for tomorrow at 2:30 PM. Reply 1 to confirm, 2 to reschedule.",Legitimate Service,0,0.11,LOW
Immediate hiring for Amazon Product Reviewer. Daily payout $500. Message Telegram @CryptoProf_343 for instant onboarding.,Fake Job Offer,1,0.952,CRITICAL
Zoom meeting invitation: Weekly Engineering Sync on Thursday at 3:00 PM EST. Join with meeting ID 5356.,Legitimate Work,0,0.279,LOW
Package Delivery Failed: USPS tracking #US19469323P is held at terminal due to unpaid duty fees of $2.30. Pay at https://login-update-online-service.top.,Delivery Phishing,1,0.94,CRITICAL
"Hey, are we still meeting for lunch at the cafeteria around 1:00 PM today?",Legitimate Personal,0,0.244,LOW
"Congratulations! You've been whitelisted for the Exclusive Ripple Airdrop. Claim your free $5,000 token grant at http://kyc-urgent-support.info.",Crypto Investment Scam,1,0.964,HIGH
"Congratulations! You've been whitelisted for the Exclusive Ripple Airdrop. Claim your free $5,000 token grant at http://secure-verify-auth2.xyz.",Crypto Investment Scam,1,0.914,HIGH
Your monthly bank statement for account ending in 4428 is now ready to view in the official mobile banking app.,Legitimate Banking,0,0.229,LOW
Your verification code for Uber is 610760. This code will expire in 10 minutes. Do not share it with anyone.,Legitimate OTP,0,0.136,LOW
Immediate hiring for Amazon Product Reviewer. Daily payout $500. Message Telegram @CryptoProf_964 for instant onboarding.,Fake Job Offer,1,0.918,CRITICAL
Your monthly bank statement for account ending in 5596 is now ready to view in the official mobile banking app.,Legitimate Banking,0,0.297,LOW
Your order #ORD-128102 has been shipped via FedEx. Expected delivery is Friday by 5:00 PM. Track at official app.,Legitimate E-commerce,0,0.208,LOW
This is the Chief Financial Officer. I am in an urgent meeting and need you to purchase 5x $100 Apple Gift Cards and email the codes.,Executive Impersonation,1,0.784,HIGH
"Reminder: Your dentist appointment with Dr. Smith is scheduled for tomorrow at 2:30 PM. Reply 1 to confirm, 2 to reschedule.",Legitimate Service,0,0.139,LOW
This is the Chief Financial Officer. I am in an urgent meeting and need you to purchase 5x $100 Apple Gift Cards and email the codes.,Executive Impersonation,1,0.904,HIGH
"Congratulations! You've been whitelisted for the Exclusive Ethereum Airdrop. Claim your free $5,000 token grant at http://claim-crypto-giveaway.net.",Crypto Investment Scam,1,0.981,HIGH
Amazon Notification: Your mobile number was selected for an iPhone 15 Pro giveaway. Claim within 10 minutes at https://login-update-online-service.top.,Lottery / Prize Fraud,1,0.976,CRITICAL
"Congratulations! You've been whitelisted for the Exclusive Bitcoin Airdrop. Claim your free $5,000 token grant at http://secure-verify-auth2.xyz.",Crypto Investment Scam,1,0.819,HIGH
Netflix Member Alert: We could not process your latest payment. Update billing details at https://login-update-online-service.top to avoid service cancellation.,Subscription Phishing,1,0.891,CRITICAL
Thanks for reaching out to customer support. Your ticket #73689 has been resolved. Please rate our service.,Legitimate Support,0,0.081,LOW
Your monthly bank statement for account ending in 6268 is now ready to view in the official mobile banking app.,Legitimate Banking,0,0.099,LOW
Part-time Online Job Offer: Earn $300-$800 daily by rating hotels/apps on your phone for 1 hour. No experience required. WhatsApp: +1-888-893-1691,Fake Job Offer,1,0.773,CRITICAL
"Dear Customer, Your debit card ending in 1208 is locked. Click http://usps-delivery-portal.cc to update KYC within 24 hours.",Banking Phishing,1,0.782,CRITICAL
IRS / Tax Notice: A federal warrant is issued for tax evasion. Call +1-889-559-2709 immediately or law enforcement will be dispatched.,Impersonation / Extortion,1,0.812,CRITICAL
Your order #ORD-306790 has been shipped via FedEx. Expected delivery is Friday by 5:00 PM. Track at official app.,Legitimate E-commerce,0,0.289,LOW
"Invest $200 today and receive $3,500 daily guaranteed passive income! Contact our VIP forex manager on Telegram @CryptoProf_708.",Crypto Investment Scam,1,0.945,HIGH
Guaranteed 450% return in 48 hours! Join our automated crypto arbitrage pool today. Send 0.92 ETH to 0x25602ae and start earning.,Crypto Investment Scam,1,0.899,HIGH
"Hey, are we still meeting for lunch at the cafeteria around 1:00 PM today?",Legitimate Personal,0,0.176,LOW
Payment received: You paid $42.50 at Trader Joe's using Apple Pay on Aug 25.,Legitimate Transaction,0,0.191,LOW
HDFC Security: Unusual login from United States. Confirm your identity now at http://usps-delivery-portal.cc to prevent account freeze.,Banking Phishing,1,0.776,HIGH
Google Calendar: Standup meeting starts in 10 minutes (10:00 AM - 10:15 AM).,Legitimate Calendar,0,0.144,LOW
Part-time Online Job Offer: Earn $300-$800 daily by rating hotels/apps on your phone for 1 hour. No experience required. WhatsApp: +1-990-483-8413,Fake Job Offer,1,0.85,HIGH
Thanks for reaching out to customer support. Your ticket #30678 has been resolved. Please rate our service.,Legitimate Support,0,0.092,LOW
"WINNER! You have won the United States Mega Millions International Draw of $3,000,000! Call +1-784-275-6112 immediately with code WIN4658 to claim.",Lottery / Prize Fraud,1,0.781,CRITICAL
URGENT: Your Chase account has been suspended due to suspicious activity. Verify immediately at https://login-update-online-service.top to avoid permanent deactivation.,Banking Phishing,1,0.935,HIGH
"ALERT: An unauthorized transaction of $7748 was attempted on your account. If this was not you, cancel it now at http://kyc-urgent-support.info.",Banking Phishing,1,0.923,CRITICAL
"Hi team, please find the quarterly performance slide deck attached for tomorrow's review meeting.",Legitimate Business,0,0.291,LOW
Zoom meeting invitation: Weekly Engineering Sync on Thursday at 3:00 PM EST. Join with meeting ID 6699.,Legitimate Work,0,0.102,LOW
"Hi team, please find the quarterly performance slide deck attached for tomorrow's review meeting.",Legitimate Business,0,0.151,LOW
Guaranteed 450% return in 48 hours! Join our automated crypto arbitrage pool today. Send 1.06 ETH to 0x9c42a4 and start earning.,Crypto Investment Scam,1,0.934,HIGH
IRS / Tax Notice: A federal warrant is issued for tax evasion. Call +1-888-808-3755 immediately or law enforcement will be dispatched.,Impersonation / Extortion,1,0.876,HIGH
Zoom meeting invitation: Weekly Engineering Sync on Thursday at 3:00 PM EST. Join with meeting ID 7485.,Legitimate Work,0,0.211,LOW
HR Global Recruiter: You have been shortlisted for Remote Data Entry role paying $65/hr. Pay registration fee $49 at https://login-update-online-service.top to get started.,Fake Job Offer,1,0.78,CRITICAL
Payment received: You paid $42.50 at Trader Joe's using Apple Pay on Aug 25.,Legitimate Transaction,0,0.074,LOW
"Hi team, please find the quarterly performance slide deck attached for tomorrow's review meeting.",Legitimate Business,0,0.188,LOW
GitHub: A new security advisory was published for your repository. Check security tab for details.,Legitimate Notification,0,0.198,LOW
Capital One Security: Unusual login from Russia. Confirm your identity now at http://kyc-urgent-support.info to prevent account freeze.,Banking Phishing,1,0.777,HIGH
Tesla & Elon Musk 100M Crypto Giveaway! Send 0.1 BTC to receive 0.5 BTC back immediately: http://claim-crypto-giveaway.net,Crypto Investment Scam,1,0.799,HIGH
Here is the updated recipe for the chocolate cake we discussed last weekend. Let me know if you need vanilla extract.,Legitimate Personal,0,0.128,LOW
Part-time Online Job Offer: Earn $300-$800 daily by rating hotels/apps on your phone for 1 hour. No experience required. WhatsApp: +1-224-631-3655,Fake Job Offer,1,0.865,HIGH
"Congratulations! You've been whitelisted for the Exclusive Bitcoin Airdrop. Claim your free $5,000 token grant at https://bank-security-center.ru.",Crypto Investment Scam,1,0.827,CRITICAL
Part-time Online Job Offer: Earn $300-$800 daily by rating hotels/apps on your phone for 1 hour. No experience required. WhatsApp: +1-900-390-6165,Fake Job Offer,1,0.893,CRITICAL
Part-time Online Job Offer: Earn $300-$800 daily by rating hotels/apps on your phone for 1 hour. No experience required. WhatsApp: +1-396-408-2182,Fake Job Offer,1,0.856,HIGH
Part-time Online Job Offer: Earn $300-$800 daily by rating hotels/apps on your phone for 1 hour. No experience required. WhatsApp: +1-863-851-8194,Fake Job Offer,1,0.873,CRITICAL
Google Calendar: Standup meeting starts in 10 minutes (10:00 AM - 10:15 AM).,Legitimate Calendar,0,0.182,LOW
"Congratulations! You've been whitelisted for the Exclusive Solana Airdrop. Claim your free $5,000 token grant at http://kyc-urgent-support.info.",Crypto Investment Scam,1,0.93,HIGH
"Invest $200 today and receive $3,500 daily guaranteed passive income! Contact our VIP forex manager on Telegram @CryptoProf_601.",Crypto Investment Scam,1,0.9,CRITICAL
Netflix Member Alert: We could not process your latest payment. Update billing details at https://bank-security-center.ru to avoid service cancellation.,Subscription Phishing,1,0.972,HIGH
"Reminder: Your dentist appointment with Dr. Smith is scheduled for tomorrow at 2:30 PM. Reply 1 to confirm, 2 to reschedule.",Legitimate Service,0,0.168,LOW
"Reminder: Your dentist appointment with Dr. Smith is scheduled for tomorrow at 2:30 PM. Reply 1 to confirm, 2 to reschedule.",Legitimate Service,0,0.233,LOW
Your verification code for Uber is 367378. This code will expire in 10 minutes. Do not share it with anyone.,Legitimate OTP,0,0.332,LOW
GitHub: A new security advisory was published for your repository. Check security tab for details.,Legitimate Notification,0,0.153,LOW
Google Calendar: Standup meeting starts in 10 minutes (10:00 AM - 10:15 AM).,Legitimate Calendar,0,0.099,LOW
HR Global Recruiter: You have been shortlisted for Remote Data Entry role paying $65/hr. Pay registration fee $49 at http://kyc-urgent-support.info to get started.,Fake Job Offer,1,0.834,CRITICAL
Payment received: You paid $42.50 at Trader Joe's using Apple Pay on Aug 25.,Legitimate Transaction,0,0.188,LOW
"Dear Customer, Your debit card ending in 7481 is locked. Click http://kyc-urgent-support.info to update KYC within 24 hours.",Banking Phishing,1,0.888,CRITICAL
Google Calendar: Standup meeting starts in 10 minutes (10:00 AM - 10:15 AM).,Legitimate Calendar,0,0.121,LOW
"Hey, are we still meeting for lunch at the cafeteria around 1:00 PM today?",Legitimate Personal,0,0.307,LOW
"Walmart Reward: You have a pending voucher worth $1,000. Complete this short survey at https://login-update-online-service.top before expiration.",Lottery / Prize Fraud,1,0.855,CRITICAL
Package Delivery Failed: USPS tracking #US23454777P is held at terminal due to unpaid duty fees of $2.30. Pay at http://kyc-urgent-support.info.,Delivery Phishing,1,0.978,HIGH
GitHub: A new security advisory was published for your repository. Check security tab for details.,Legitimate Notification,0,0.242,LOW
"Dear Customer, Your debit card ending in 1089 is locked. Click https://bank-security-center.ru to update KYC within 24 hours.",Banking Phishing,1,0.861,HIGH
Your verification code for Uber is 598156. This code will expire in 10 minutes. Do not share it with anyone.,Legitimate OTP,0,0.087,LOW
URGENT: Your Citibank account has been suspended due to suspicious activity. Verify immediately at http://usps-delivery-portal.cc to avoid permanent deactivation.,Banking Phishing,1,0.853,HIGH
Zoom meeting invitation: Weekly Engineering Sync on Thursday at 3:00 PM EST. Join with meeting ID 8711.,Legitimate Work,0,0.307,LOW
Immediate hiring for Amazon Product Reviewer. Daily payout $500. Message Telegram @CryptoProf_161 for instant onboarding.,Fake Job Offer,1,0.927,CRITICAL
Immediate hiring for Amazon Product Reviewer. Daily payout $500. Message Telegram @CryptoProf_999 for instant onboarding.,Fake Job Offer,1,0.964,CRITICAL
Your order #ORD-409190 has been shipped via FedEx. Expected delivery is Friday by 5:00 PM. Track at official app.,Legitimate E-commerce,0,0.31,LOW
"Reminder: Your dentist appointment with Dr. Smith is scheduled for tomorrow at 2:30 PM. Reply 1 to confirm, 2 to reschedule.",Legitimate Service,0,0.118,LOW
Amazon Notification: Your mobile number was selected for an iPhone 15 Pro giveaway. Claim within 10 minutes at http://secure-verify-auth2.xyz.,Lottery / Prize Fraud,1,0.79,CRITICAL
Amazon Notification: Your mobile number was selected for an iPhone 15 Pro giveaway. Claim within 10 minutes at http://kyc-urgent-support.info.,Lottery / Prize Fraud,1,0.822,HIGH
Google Calendar: Standup meeting starts in 10 minutes (10:00 AM - 10:15 AM).,Legitimate Calendar,0,0.081,LOW
GitHub: A new security advisory was published for your repository. Check security tab for details.,Legitimate Notification,0,0.216,LOW
Zoom meeting invitation: Weekly Engineering Sync on Thursday at 3:00 PM EST. Join with meeting ID 1760.,Legitimate Work,0,0.267,LOW
Tesla & Elon Musk 100M Crypto Giveaway! Send 0.1 BTC to receive 0.5 BTC back immediately: http://claim-crypto-giveaway.net,Crypto Investment Scam,1,0.819,HIGH
Your order #ORD-918997 has been shipped via FedEx. Expected delivery is Friday by 5:00 PM. Track at official app.,Legitimate E-commerce,0,0.278,LOW
Zoom meeting invitation: Weekly Engineering Sync on Thursday at 3:00 PM EST. Join with meeting ID 4822.,Legitimate Work,0,0.263,LOW
"Hi team, please find the quarterly performance slide deck attached for tomorrow's review meeting.",Legitimate Business,0,0.088,LOW
"Hey, are we still meeting for lunch at the cafeteria around 1:00 PM today?",Legitimate Personal,0,0.288,LOW
"Invest $200 today and receive $3,500 daily guaranteed passive income! Contact our VIP forex manager on Telegram @CryptoProf_548.",Crypto Investment Scam,1,0.989,HIGH
Your verification code for Google is 954093. This code will expire in 10 minutes. Do not share it with anyone.,Legitimate OTP,0,0.104,LOW
Here is the updated recipe for the chocolate cake we discussed last weekend. Let me know if you need vanilla extract.,Legitimate Personal,0,0.245,LOW
GitHub: A new security advisory was published for your repository. Check security tab for details.,Legitimate Notification,0,0.276,LOW
"Walmart Reward: You have a pending voucher worth $1,000. Complete this short survey at https://bank-security-center.ru before expiration.",Lottery / Prize Fraud,1,0.887,CRITICAL
Thanks for reaching out to customer support. Your ticket #66250 has been resolved. Please rate our service.,Legitimate Support,0,0.273,LOW
Google Calendar: Standup meeting starts in 10 minutes (10:00 AM - 10:15 AM).,Legitimate Calendar,0,0.279,LOW
URGENT: Your Citibank account has been suspended due to suspicious activity. Verify immediately at https://login-update-online-service.top to avoid permanent deactivation.,Banking Phishing,1,0.826,CRITICAL
Here is the updated recipe for the chocolate cake we discussed last weekend. Let me know if you need vanilla extract.,Legitimate Personal,0,0.304,LOW
"WINNER! You have won the Nigeria Mega Millions International Draw of $12,000,000! Call +1-971-763-1073 immediately with code WIN3802 to claim.",Lottery / Prize Fraud,1,0.865,HIGH
Your order #ORD-485582 has been shipped via FedEx. Expected delivery is Friday by 5:00 PM. Track at official app.,Legitimate E-commerce,0,0.335,LOW
IRS / Tax Notice: A federal warrant is issued for tax evasion. Call +1-522-500-3631 immediately or law enforcement will be dispatched.,Impersonation / Extortion,1,0.885,HIGH
Your verification code for Uber is 895458. This code will expire in 10 minutes. Do not share it with anyone.,Legitimate OTP,0,0.229,LOW
Zoom meeting invitation: Weekly Engineering Sync on Thursday at 3:00 PM EST. Join with meeting ID 3161.,Legitimate Work,0,0.268,LOW
This is the Chief Financial Officer. I am in an urgent meeting and need you to purchase 5x $100 Apple Gift Cards and email the codes.,Executive Impersonation,1,0.868,CRITICAL
"Reminder: Your dentist appointment with Dr. Smith is scheduled for tomorrow at 2:30 PM. Reply 1 to confirm, 2 to reschedule.",Legitimate Service,0,0.163,LOW
"Reminder: Your dentist appointment with Dr. Smith is scheduled for tomorrow at 2:30 PM. Reply 1 to confirm, 2 to reschedule.",Legitimate Service,0,0.303,LOW
Payment received: You paid $42.50 at Trader Joe's using Apple Pay on Aug 25.,Legitimate Transaction,0,0.31,LOW
Google Calendar: Standup meeting starts in 10 minutes (10:00 AM - 10:15 AM).,Legitimate Calendar,0,0.289,LOW
"Walmart Reward: You have a pending voucher worth $1,000. Complete this short survey at https://bank-security-center.ru before expiration.",Lottery / Prize Fraud,1,0.811,HIGH
Immediate hiring for Amazon Product Reviewer. Daily payout $500. Message Telegram @CryptoProf_742 for instant onboarding.,Fake Job Offer,1,0.898,HIGH
Immediate hiring for Amazon Product Reviewer. Daily payout $500. Message Telegram @CryptoProf_827 for instant onboarding.,Fake Job Offer,1,0.981,CRITICAL
Your monthly bank statement for account ending in 2751 is now ready to view in the official mobile banking app.,Legitimate Banking,0,0.116,LOW
Zoom meeting invitation: Weekly Engineering Sync on Thursday at 3:00 PM EST. Join with meeting ID 4260.,Legitimate Work,0,0.174,LOW
"ALERT: An unauthorized transaction of $8687 was attempted on your account. If this was not you, cancel it now at http://secure-verify-auth2.xyz.",Banking Phishing,1,0.979,HIGH
Here is the updated recipe for the chocolate cake we discussed last weekend. Let me know if you need vanilla extract.,Legitimate Personal,0,0.13,LOW
"Hi team, please find the quarterly performance slide deck attached for tomorrow's review meeting.",Legitimate Business,0,0.253,LOW
Guaranteed 450% return in 48 hours! Join our automated crypto arbitrage pool today. Send 3.24 ETH to 0x4329c06 and start earning.,Crypto Investment Scam,1,0.894,CRITICAL
Amazon Notification: Your mobile number was selected for an iPhone 15 Pro giveaway. Claim within 10 minutes at http://kyc-urgent-support.info.,Lottery / Prize Fraud,1,0.976,CRITICAL
"WINNER! You have won the United Kingdom Mega Millions International Draw of $3,000,000! Call +1-736-593-9693 immediately with code WIN8501 to claim.",Lottery / Prize Fraud,1,0.844,HIGH
Payment received: You paid $42.50 at Trader Joe's using Apple Pay on Aug 25.,Legitimate Transaction,0,0.185,LOW
Your verification code for Uber is 172673. This code will expire in 10 minutes. Do not share it with anyone.,Legitimate OTP,0,0.076,LOW
IRS / Tax Notice: A federal warrant is issued for tax evasion. Call +1-424-879-1422 immediately or law enforcement will be dispatched.,Impersonation / Extortion,1,0.793,HIGH
Zoom meeting invitation: Weekly Engineering Sync on Thursday at 3:00 PM EST. Join with meeting ID 3136.,Legitimate Work,0,0.146,LOW
URGENT: Your Bank of America account has been suspended due to suspicious activity. Verify immediately at http://usps-delivery-portal.cc to avoid permanent deactivation.,Banking Phishing,1,0.957,CRITICAL
Your monthly bank statement for account ending in 8007 is now ready to view in the official mobile banking app.,Legitimate Banking,0,0.318,LOW
Netflix Member Alert: We could not process your latest payment. Update billing details at https://login-update-online-service.top to avoid service cancellation.,Subscription Phishing,1,0.978,HIGH
"Hey, are we still meeting for lunch at the cafeteria around 1:00 PM today?",Legitimate Personal,0,0.315,LOW
Zoom meeting invitation: Weekly Engineering Sync on Thursday at 3:00 PM EST. Join with meeting ID 4552.,Legitimate Work,0,0.162,LOW
Your verification code for Uber is 808244. This code will expire in 10 minutes. Do not share it with anyone.,Legitimate OTP,0,0.219,LOW
This is the Chief Financial Officer. I am in an urgent meeting and need you to purchase 5x $100 Apple Gift Cards and email the codes.,Executive Impersonation,1,0.793,CRITICAL
"Invest $200 today and receive $3,500 daily guaranteed passive income! Contact our VIP forex manager on Telegram @CryptoProf_899.",Crypto Investment Scam,1,0.772,HIGH
Netflix Member Alert: We could not process your latest payment. Update billing details at http://secure-verify-auth2.xyz to avoid service cancellation.,Subscription Phishing,1,0.987,CRITICAL
"Reminder: Your dentist appointment with Dr. Smith is scheduled for tomorrow at 2:30 PM. Reply 1 to confirm, 2 to reschedule.",Legitimate Service,0,0.174,LOW
State Bank Security: Unusual login from Singapore. Confirm your identity now at http://claim-crypto-giveaway.net to prevent account freeze.,Banking Phishing,1,0.941,CRITICAL
"ALERT: An unauthorized transaction of $1604 was attempted on your account. If this was not you, cancel it now at https://login-update-online-service.top.",Banking Phishing,1,0.917,CRITICAL
"Hey, are we still meeting for lunch at the cafeteria around 1:00 PM today?",Legitimate Personal,0,0.288,LOW
Payment received: You paid $42.50 at Trader Joe's using Apple Pay on Aug 25.,Legitimate Transaction,0,0.058,LOW
Amazon Notification: Your mobile number was selected for an iPhone 15 Pro giveaway. Claim within 10 minutes at http://secure-verify-auth2.xyz.,Lottery / Prize Fraud,1,0.889,CRITICAL
Payment received: You paid $42.50 at Trader Joe's using Apple Pay on Aug 25.,Legitimate Transaction,0,0.103,LOW
"ALERT: An unauthorized transaction of $8307 was attempted on your account. If this was not you, cancel it now at https://login-update-online-service.top.",Banking Phishing,1,0.77,CRITICAL
Thanks for reaching out to customer support. Your ticket #69285 has been resolved. Please rate our service.,Legitimate Support,0,0.157,LOW
"Invest $200 today and receive $3,500 daily guaranteed passive income! Contact our VIP forex manager on Telegram @CryptoProf_324.",Crypto Investment Scam,1,0.876,CRITICAL
Amazon Notification: Your mobile number was selected for an iPhone 15 Pro giveaway. Claim within 10 minutes at https://login-update-online-service.top.,Lottery / Prize Fraud,1,0.798,HIGH
